我	wo
通渠水	tong qu shui
通靈板	tong ling ban
通窿	tong long
通窿殼	tong long ke
通籠	tong long
通勝	tong sheng
通爽	tong shuang
通天巴士	tong tian ba shi
通天曉	tong tian xiao
通堂老倌	tong tang lao guan
嗵嗵鼓	tong tong gu
通屋	tong wu
通知欄	tong zhi lan
通知唔切	tong zhi wu qie
統籌安排	tong chou an pai
筒倉	tong cang
桶底	tong di
桶㞘	tong du
統讀	tong du
桶櫃	tong gui
統一派位	tong yi pai wei
統禦	tong yu
痛到死	tong dao si
痛到死死下	tong dao si si xia
痛深惡絕	tong shen e jue
痛錫	tong xi
痛玩一番	tong wan yi fan
痛閾	tong yu
銅筆	tong bi
同邊個	tong bian ge
童兵	tong bing
同煲同撈	tong bao tong lao
銅錘花臉	tong chui hua lian
銅翅水雉	tong chi shui zhi
同場	tong chang
同場加映	tong chang jia ying
童牀	tong chuang
垌冢	dong zhong
同德圍	tong de wei
同道中人	tong dao zhong ren
同花	tong hua
同花大順	tong hua da shun
同花兼夾順	tong hua jian jia shun
童花頭	tong hua tou
同分異構	tong fen yi gou
同伙	tong huo
同父母	tong fu mu
同福	tong fu
同福路	tong fu lu
銅管樂	tong guan le
同學仔	tong xue zai
同行如敵國	tong xing ru di guo
仝人	tong ren
同人唔同命	tong ren wu tong ming
同一個鼻哥窿出氣	tong yi ge bi ge long chu qi
同一掛	tong yi gua
桐油埕	tong you cheng
桐油埕裝桐油	tong you cheng zhuang tong you
桐油灰	tong you hui
同義反覆	tong yi fan fu
同業拆息	tong ye chai xi
同佢	tong qu
同撈同煲	tong lao tong bao
同埋一齊	tong mai yi qi
同文風	tong wen feng
瞳眸	tong mou
同咩	tong mie
同蒙其利	tong meng qi li
同你講	tong ni jiang
銅銀	tong yin
銅皮鐵骨	tong pi tie gu
銅盤	tong pan
同生死共患難	tong sheng si gong huan nan
銅仙	tong xian
同性婚姻	tong xing hun yin
同途殊歸	tong tu shu gui
同屋共主	tong wu gong zhu
同屋主	tong wu zhu
同屋住	tong wu zhu
銅環	tong huan
同和站	tong he zhan
同遮唔同柄	tong zhe wu tong bing
童子口	tong zi kou
童子尿	tong zi niao
囤地	dun di
臀肌	tun ji
屯公	tun gong
屯元天	tun yuan tian
屯門區	tun men qu
屯門碼頭總站	tun men ma tou zong zhan
屯門普高	tun men pu gao
臀推	tun tui
斷橛禾蟲	duan jue he chong
斷癮	duan yin
斷纜	duan lan
斷六親	duan liu qin
斷米路	duan mi lu
脫亞入歐	tuo ya ru ou
脫窗	tuo chuang
脫單	tuo dan
脫氧麻黃鹼	tuo yang ma huang jian
脫離實際	tuo li shi ji
脫唔到身	tuo wu dao shen
脫癦	tuo me
脫牙	tuo ya
脫勾	tuo gou
脫手離佗	tuo shou li tuo
脫市	tuo shi
屋宇署	wu yu shu
屋契	wu qi
屋漏兼逢夜雨	wu lou jian feng ye yu
屋漏兼逢連夜雨	wu lou jian feng lian ye yu
屋崙	wu lun
屋主婆	wu zhu po
壅罯	yong an
壅肥	yong fei
壅泥	yong ni
㧬火	gong huo
㧬開	gong kai
㧬人	gong ren
㧬落	gong luo
㧬門	gong men
蕹菜梗	weng cai geng
蕹菜塘	weng cai tang
甕缸	weng gang
嘩變	hua bian
哇鬼	wa gui
嘩鬼	hua gui
娃鬼	wa gui
嘩鬼節	hua gui jie
嘩啦嘩啦	hua la hua la
嘩佬	hua lao
哇沙比	wa sha bi
哇沙米	wa sha mi
嘩笑	hua xiao
娃娃菜	wa wa cai
嘩嘩聲	hua hua sheng
嘩衆取寵	hua zhong qu chong
畫家帽	hua jia mao
畫功	hua gong
抓毛	zhua mao
華比銀行	hua bi yin xing
華海	hua hai
華約	hua yue
華洋轇轕	hua yang jiao ge
划拉	hua la
划唔過	hua wu guo
划唔來	hua wu lai
華懋	hua mao
華懋集團	hua mao ji tuan
華南農業大學	hua nan nong ye da xue
華師站	hua shi zhan
華盛頓大學	hua sheng dun da xue
華田	hua tian
話畀	hua bi
話畀你聽	hua bi ni ting
話畀你知	hua bi ni zhi
話低	hua di
話得埋	hua de mai
話定	hua ding
話都冇咁快	hua dou mao gan kuai
話到尾	hua dao wei
話過佢	hua guo qu
話過佢知	hua guo qu zhi
話過你	hua guo ni
話過你知	hua guo ni zhi
話氣	hua qi
話佢	hua qu
話撚之	hua nian zhi
話乜話物	hua mie hua wu
話冇咁快	hua mao gan kuai
話你	hua ni
話你知	hua ni zhi
話我	hua wo
話三話四	hua san hua si
華秀	hua xiu
華秀隻狗	hua xiu zhi gou
話事偈	hua shi ji
話事計	hua shi ji
話是偈	hua shi ji
話事人	hua shi ren
話事啤	hua shi pi
話頭唔醒尾	hua tou wu xing wei
話頭醒尾	hua tou xing wei
話亭	hua ting
話就	hua jiu
話啫	hua zhe
話嗻	hua zhe
話知佢	hua zhi qu
話之你	hua zhi ni
話咗	hua zuo
歪瓜裂棗	wai gua lie zao
歪瓜劣棗	wai gua lie zao
歪烏連	wai wu lian
壞鬼	huai gui
懷化縣	huai hua xian
淮海地區	huai hai di qu
懷緬	huai mian
淮山	huai shan
槐枝	huai zhi
壞車燈	huai che deng
壞到加零一	huai dao jia ling yi
壞家伙	huai jia huo
壞結局	huai jie ju
壞骨	huai gu
壞鳥	huai niao
壞神嘢	huai shen ye
劃切	hua qie
畫等號	hua deng hao
劃朵	hua duo
劃花口面	hua hua kou mian
畫花口面	hua hua kou mian
畫公仔	hua gong zai
畫公仔唔使畫出腸	hua gong zai wu shi hua chu chang
畫公仔畫出腸	hua gong zai hua chu chang
畫龜	hua gui
劃鬼腳	hua gui jiao
畫鬼腳	hua gui jiao
畫耳埋牆	hua er mai qiang
劃輪	hua lun
劃十字	hua shi zi
劃上等號	hua shang deng hao
劃艇	hua ting
畫壞鍾馗	hua huai zhong kui
畫則師	hua ze shi
畫則	hua ze
彎速	wan su
灣京	wan jing
彎液面	wan ye mian
灣月	wan yue
彎月形透鏡	wan yue xing tou jing
灣區捷運	wan qu jie yun
彎男	wan nan
彎臣	wan chen
灣仔街市	wan zai jie shi
灣仔區	wan zai qu
彎嘴濱鷸	wan zui bin yu
玩飽	wan bao
玩寳州	wan bao zhou
玩巢	wan chao
玩出火	wan chu huo
玩出禍	wan chu huo
玩串	wan chuan
玩串個場	wan chuan ge chang
玩大佢	wan da qu
玩燈籠	wan deng long
玩點數	wan dian shu
玩到底	wan dao di
玩到興高采烈	wan dao xing gao cai lie
玩到㷫烚烚	wan dao qing xia xia
玩到盡	wan dao jin
玩膠	wan jiao
挽下手	wan xia shou
玩下手	wan xia shou
玩下玩下	wan xia wan xia
挽鞋	wan xie
玩後庭	wan hou ting
綰起頭髮	wan qi tou fa
玩落	wan luo
玩六九	wan liu jiu
玩唔起	wan wu qi
玩唔玩	wan wu wan
玩麻雀	wan ma que
玩馬騮	wan ma liu
玩埋一份	wan mai yi fen
玩泥沙	wan ni sha
玩啤牌	wan pi pai
挽手袋	wan shou dai
玩手機	wan shou ji
挽水	wan shui
玩上手	wan shang shou
玩餐飽	wan can bao
玩謝	wan xie
玩煮飯飯	wan zhu fan fan
環保部	huan bao bu
環保吹	huan bao chui
環保袋	huan bao dai
環保筷	huan bao kuai
環保廳	huan bao ting
環保紙	huan bao zhi
還得神落	hai de shen luo
還對我	hai dui wo
環頸山鷓鴣	huan jing shan zhe gu
環境保護署	huan jing bao hu shu
頑固分子	wan gu fen zi
還鄉女	hai xiang nv
環球貿易廣場	huan qiu mao yi guang chang
還亂	hai luan
玩遍	wan bian
玩新人	wan xin ren
環首死刑	huan shou si xing
還太歲	hai tai sui
環頭	huan tou
環頭環尾	huan tou huan wei
環迴	huan hui
䴉嘴鷸	huan zui yu
頑瘴痼疾	wan zhang gu ji
寰螽	huan zhong
挽詞	wan ci
輓近	wan jin
鯇魚	huan yu
挽聯	wan lian
挽額	wan e
幻彩	huan cai
轘裂	huan lie
槵子	huan zi
軭神	kuang shen
橫咗	heng zuo
橫丫腸	heng ya chang
橫椏腸	heng ya chang
橫丫路	heng ya lu
橫斑林鶯	heng ban lin ying
橫板	heng ban
橫綳綳	heng beng beng
橫乓乓	heng pang pang
橫繃繃	heng beng beng
橫邊	heng bian
橫財就手	heng cai jiu shou
橫傳	heng chuan
橫檔	heng dang
橫風橫雨	heng feng heng yu
橫街窄巷	heng jie zhai xiang
橫格子	heng ge zi
橫間衫	heng jian shan
橫亘	heng gen
橫九𠶧十	heng jiu dian shi
橫角	heng jiao
橫巷	heng xiang
橫脷	heng li
橫紋柴	heng wen chai
橫門	heng men
橫手	heng shou
橫死𠶧死	heng si dian si
橫水渡	heng shui du
橫水艔	heng shui dao
橫屍街頭	heng shi jie tou
橫睇𠶧睇	heng di dian di
橫頭磡	heng tou kan
橫洲	heng zhou
橫枝椏趽	heng zhi ya fang
挖荷包	wa he bao
挖肉	wa rou
挖肉攞瘡生	wa rou luo chuang sheng
滑啞	hua ya
滑蛋牛肉	hua dan niu rou
滑蓋手機	hua gai shou ji
滑蕨	hua jue
滑浪	hua lang
滑浪風帆	hua lang feng fan
滑捋捋	hua lv lv
滑𣲷𣲷	hua ni ni
滑門	hua men
滑腍	hua ren
滑牙	hua ya
滑牛	hua niu
滑潺潺	hua chan chan
滑鼠手	hua shu shou
滑雪靴	hua xue xue
滑揗揗	hua xun xun
滑頭蛇	hua tou she
滑鐵廬	hua tie lu
滑脫脫	hua tuo tuo
滑咗雞	hua zuo ji
威特	wei te
威到痹	wei dao bi
威到盡	wei dao jin
威化	wei hua
威化餅乾	wei hua bing qian
威基基	wei ji ji
崴腳	wai jiao
威下	wei xia
威吔	wei ye
威而鋼	wei er gang
威爾頓	wei er dun
威爾斯親王	wei er si qin wang
威爾斯親王醫院	wei er si qin wang yi yuan
威爾斯文	wei er si wen
威靈頓街	wei ling dun jie
媁水	wei shui
威水史	wei shui shi
威攝	wei she
喂哇鬼叫	wei wa gui jiao
喴嘩鬼叫	wei hua gui jiao
喴嘩鬼震	wei hua gui zhen
威威食雞	wei wei shi ji
萎凋	wei diao
委任證	wei ren zheng
譭謗	hui bang
喟歎	kui tan
委托人	wei tuo ren
位值	wei zhi
喂啊	wei a
餵人奶	wei ren nai
餵料	wei liao
餵老虎機	wei lao hu ji
餵飼	wei si
遺鷗	yi ou
維表	wei biao
圍產	wei chan
惟才是用	wei cai shi yong
遺傳基因	yi chuan ji yin
遺傳率	yi chuan lv
爲得過	wei de guo
維特效應	wei te xiao ying
圍帎	wei dan
維多利亞城	wei duo li ya cheng
圍讀	wei du
惟獨是	wei du shi
爲富不仁爲仁不富	wei fu bu ren wei ren bu fu
維基解密	wei ji jie mi
桅桿	wei gan
維港渡海泳	wei gang du hai yong
維管	wei guan
爲口奔馳	wei kou ben chi
遺害無窮	yi hai wu qiong
惟恐避之不及	wei kong bi zhi bu ji
維也納航空公司	wei ye na hang kong gong si
爲因	wei yin
惟一性	wei yi xing
維園阿伯	wei yuan a bo
維拉港	wei la gang
違例泊車	wei li po che
唯理論	wei li lun
違戾	wei li
爲兩餐	wei liang can
圍爐取暖	wei lu qu nuan
爲唔過	wei wu guo
爲乜事幹	wei mie shi gan
維密	wei mi
爲咩	wei mie
圍名歌	wei ming ge
維尼綸	wei ni lun
惟你是問	wei ni shi wen
爲皮	wei pi
爲勢所逼	wei shi suo bi
維新變法	wei xin bian fa
惟是	wei shi
維氏	wei shi
圍色	wei se
維他奶	wei ta nai
圍頭	wei tou
圍骰	wei tou
圍頭人	wei tou ren
圍頭佬	wei tou lao
圍頭話	wei tou hua
維穩	wei wen
維珍尼亞	wei zhen ni ya
爲知	wei zhi
唯象	wei xiang
唯象理論	wei xiang li lun
葦鵐	wei wu
爲得人	wei de ren
爲得朋友	wei de peng you
胃火	wei huo
遺餽	yi kui
胃氣	wei qi
胃寒	wei han
衛衣	wei yi
胃繞道	wei rao dao
惠譽	hui yu
爲乜嘢	wei mie ye
惠妹	hui mei
惠能	hui neng
衛生麻雀	wei sheng ma que
衛生條件	wei sheng tiao jian
衛生套	wei sheng tao
爲食鬼	wei shi gui
胃酸倒流	wei suan dao liu
爲他人作嫁衣裳	wei ta ren zuo jia yi shang
惠州話	hui zhou hua
榲桲	wen po
溫情眽眽	wen qing mo mo
瘟咁	wen gan
溫功課	wen gong ke
溫女	wen nv
瘟女	wen nv
溫暖牌	wen nuan pai
溫市	wen shi
溫兆倫	wen zhao lun
溫熟	wen shu
瘟頭瘟腦	wen tou wen nao
渾渾沌	hun hun dun
渾渾沌沌	hun hun dun dun
溫仔	wen zai
瘟仔	wen zai
搵笨柒	wen ben qi
搵邊個	wen bian ge
搵出	wen chu
搵錢買花戴	wen qian mai hua dai
穩打穩紮	wen da wen za
搵啲	wen di
搵丁	wen ding
搵刀切	wen dao qie
搵到	wen dao
搵返	wen fan
搵飯食	wen fan shi
搵機會	wen ji hui
搵腳	wen jiao
搵鬼	wen gui
搵鬼幫襯	wen gui bang chen
搵鬼幫手	wen gui bang shou
搵鬼買	wen gui mai
搵學校	wen xue xiao
搵人	wen ren
搵人幫手	wen ren bang shou
搵人出氣	wen ren chu qi
搵嘢	wen ye
穩如鐵塔	wen ru tie ta
搵佢	wen qu
搵兩餐	wen liang can
搵佬	wen lao
搵老襯	wen lao chen
搵老婆	wen lao po
搵路	wen lu
搵窿蜎	wen long yuan
搵唔到	wen wu dao
搵唔返	wen wu fan
搵唔搵到	wen wu wen dao
搵米路	wen mi lu
搵乜嘢	wen mie ye
搵命搏	wen ming bo
搵你	wen ni
搵銀	wen yin
搵銀紙	wen yin zhi
搵我	wen wo
搵我笨	wen wo ben
搵我出氣	wen wo chu qi
搵我做醜人	wen wo zuo chou ren
搵山草藥	wen shan cao yao
搵世界	wen shi jie
搵死	wen si
搵四方錢	wen si fang qian
搵水	wen shui
搵水洗	wen shui xi
搵食艱難	wen shi jian nan
搵繩綁	wen sheng bang
搵條命仔較飛	wen tiao ming zai jiao fei
搵屋	wen wu
搵位坐	wen wei zuo
搵勻	wen yun
搵周公	wen zhou gong
搵隻	wen zhi
搵咗	wen zuo
搵着數	wen zhe shu
穩中求進	wen zhong qiu jin
困監倉	kun jian cang
韞監倉	yun jian cang
困黑房	kun hei fang
韞黑房	yun hei fang
困入黑房	kun ru hei fang
韞入黑房	yun ru hei fang
勻巡	yun xun
勻旬	yun xun
暈乎	yun hu
暈機浪	yun ji lang
暈高	yun gao
魂歸天國	hun gui tian guo
雲咸街	yun xian jie
蕓香	yun xiang
暈血	yun xue
雲耳	yun er
暈染	yun ran
雲煙氤氳	yun yan yin yun
雲英雞	yun ying ji
雲卡	yun ka
雲溪	yun xi
雲溪區	yun xi qu
雲裏霧裏	yun li wu li
暈浪丸	yun lang wan
雲南白斑尾柳鶯	yun nan bai ban wei liu ying
雲南柳鶯	yun nan liu ying
雲尼斯達萊	yun ni si da lai
魂魄唔齊	hun po wu qi
雲盤	yun pan
雲沙	yun sha
雲紗	yun sha
暈晒大浪	yun shai da lang
雲石斑鴨	yun shi ban ya
勻洵	yun xun
云閃	yun shan
云閃付	yun shan fu
云城	yun cheng
雲城區	yun cheng qu
暈船浪	yun chuan lang
魂頭	hun tou
暈頭暈腦	yun tou yun nao
暈酡酡	yun tuo tuo
暈暈地	yun yun di
勻勻	yun yun
蕓蕓衆生	yun yun zhong sheng
暈糊	yun hu
魂精	hun jing
雲之家	yun zhi jia
雲珠	yun zhu
允許空	yun xu kong
韻意	yun yi
韻緻	yun zhi
混吉	hun ji
混合型汽車	hun he xing qi che
運氣王	yun qi wang
混入去	hun ru qu
熨衣服	yun yi fu
運移	yun yi
暈影	yun ying
混凝土車	hun ning tu che
韻律泳	yun lv yong
䡣路	hun lu
運路	yun lu
運路行	yun lu xing
呍呢嗱	hong ne na
雲呢嗱	yun ne na
雲呢拿	yun ne na
雲尼嗱	yun ni na
雲尼拿	yun ni na
呍呢拿	hong ne na
混噩	hun e
熨衫	yun shan
熨衫板	yun shan ban
混水牆	hun shui qiang
運輸帶	yun shu dai
運輸及房屋局	yun shu ji fang wu ju
運滯	yun zhi
宏謨	hong mo
弘圖	hong tu
弘旨	hong zhi
屈餐懵	qu can meng
屈嚫	qu chen
屈嚫條腰	qu chen tiao yao
屈嚫隻腳	qu chen zhi jiao
屈嚫隻手	qu chen zhi shou
屈得就屈	qu de jiu qu
屈到腳	qu dao jiao
慍氣	yun qi
屈去後邊	qu qu hou bian
屈尾十	qu wei shi
慍悶	yun men
屈水	qu shui
屈頭雞	qu tou ji
屈鐵線	qu tie xian
屈斷咗	qu duan zuo
屈仄	qu ze
屈厔	qu zhi
屈尊俯就	qu zun fu jiu
㕵㕵狗	guo guo gou
榮休	rong xiu
永哥	yong ge
永世都記得	yong shi dou ji de
永泰站	yong tai zhan
永志不忘	yong zhi bu wang
泳棚	yong peng
泳手	yong shou
泳灘	yong tan
窩巴	wo ba
窩粑	wo ba
窩打老道	wo da lao dao
窩蛋	wo dan
窩釘	wo ding
窩夫	wo fu
蝸桿副	wo gan fu
倭黑猩猩	wo hei xing xing
蝸行牛步	wo xing niu bu
喎呵	wai he
窩籃	wo lan
窩利	wo li
窩梨	wo li
窩輪	wo lun
窩參	wo can
窩貼	wo tie
鍋竈	guo zao
禾叉比	he cha bi
禾叉髀	he cha bi
禾杈髀	he cha bi
禾花雀	he hua que
禾稈草	he gan cao
和諧式客機	he xie shi ke ji
和氣緻祥	he qi zhi xiang
和揖	he yi
和理非	he li fei
禾鐮	he lian
和味欖	he wei lan
和味龍	he wei long
和平隊	he ping dui
和平鳥	he ping niao
和事酒	he shi jiu
和食	he shi
和勝和	he sheng he
和尚擔遮	he shang dan zhe
和尚袍	he shang pao
和尚跳海	he shang tiao hai
和尚寺	he shang si
禾熟噉頭	he shu dan tou
和頭酒	he tou jiu
禾田	he tian
禾塘	he tang
禾雀	he que
禾造	he zao
涴蛋	wo dan
禍不及妻兒	huo bu ji qi er
和唱	he chang
和薖	he ke
和應	he ying
鑊仔牛柳	huo zai niu liu
鑊底噉面	huo di dan mian
鑊甘	huo gan
鑊氣	huo qi
鑊撈	huo lao
鑊黸	huo lu
鑊頭	huo tou
鑊鑊	huo huo
鑊鑊新鮮鑊鑊甘	huo huo xin xian huo huo gan
鑊鑊新鮮鑊鑊金	huo huo xin xian huo huo jin
鑊仔	huo zai
汪星人	wang xing ren
枉作小人	wang zuo xiao ren
枉做	wang zuo
枉做人	wang zuo ren
王鷗	wang ou
王八犢子	wang ba du zi
黃品冠	huang pin guan
王不留行	wang bu liu xing
黃不溜秋	huang bu liu qiu
癀病	huang bing
黃邊站	huang bian zhan
王寶強	wang bao qiang
黃埔花園	huang pu hua yuan
黃茶	huang cha
黃翠如	huang cui ru
皇帶魚	huang dai yu
黃大仙區	huang da xian qu
黃大仙廟	huang da xian miao
黃膽水	huang dan shui
皇帝不急急死太監	huang di bu ji ji si tai jian
皇帝菜	huang di cai
皇帝唔急太監急	huang di wu ji tai jian ji
皇帝女	huang di nv
皇帝女唔憂嫁	huang di nv wu you jia
皇帝蕉	huang di jiao
黃賭毒	huang du du
黃花姑娘	huang hua gu niang
黃花魚石	huang hua yu shi
黃花筒	huang hua tong
黃花筒鹹魚	huang hua tong xian yu
皇夫	huang fu
黃腹啄花鳥	huang fu zhuo hua niao
黃腹花蜜鳥	huang fu hua mi niao
黃腹角雉	huang fu jiao zhi
黃腹柳鶯	huang fu liu ying
黃腹鷚	huang fu liu
黃腹山雀	huang fu shan que
黃腹樹鶯	huang fu shu ying
黃腹鷦鶯	huang fu jiao ying
黃蜂巢	huang feng chao
黃蜂竇	huang feng dou
皇家飯	huang jia fan
皇家飯店	huang jia fan dian
皇家佬	huang jia lao
黃格仔	huang ge zai
黃頰麥雞	huang jia mai ji
黃頰山雀	huang jia shan que
黃金糕	huang jin gao
黃金桃	huang jin tao
黃唫唫	huang jin jin
黃狗毛	huang gou mao
黃狗射尿	huang gou she niao
黃狗頭	huang gou tou
黃麂	huang ji
黃猄	huang jing
黃麖	huang jing
黃頸啄木鳥	huang jing zhuo mu niao
黃頸擬蠟嘴雀	huang jing ni la zui que
黃腳雞	huang jiao ji
黃腳立	huang jiao li
黃腳鱲	huang jiao lie
黃腳銀鷗	huang jiao yin ou
黃腳三趾鶉	huang jiao san zhi chun
黃肛啄花鳥	huang gang zhuo hua niao
皇冠頭	huang guan tou
黃冠啄木鳥	huang guan zhuo mu niao
黃瓜酸	huang gua suan
黃瓜造	huang gua zao
黃果樹瀑布	huang guo shu pu bu
黃果樹大瀑布	huang guo shu da pu bu
皇國	huang guo
黃喉蜂虎	huang hou feng hu
黃喉鵐	huang hou wu
皇后大道	huang hou da dao
皇后大道東	huang hou da dao dong
皇后大道西	huang hou da dao xi
皇后大道中	huang hou da dao zhong
皇后碼頭	huang hou ma tou
皇后像廣場	huang hou xiang guang chang
皇氣	huang qi
黃凱芹	huang kai qin
黃胸柳鶯	huang xiong liu ying
黃胸鵐	huang xiong wu
黃胸織雀	huang xiong zhi que
黃犬	huang quan
黃伊汶	huang yi wen
黃腰響蜜鴷	huang yao xiang mi lie
黃腰柳鶯	huang yao liu ying
黃腰太陽鳥	huang yao tai yang niao
黃藥水	huang yao shui
王悅	wang yue
黃噙噙	huang qin qin
蟥蜞	huang qi
黃蜞	huang qi
黃黚黚	huang qian qian
黃麯霉	huang qu mei
黃麯霉毒素	huang qu mei du su
黃麯霉菌	huang qu mei jun
黃欖	huang lan
黃臘鯧	huang la chang
黃臘䱽	huang la chang
黃鱲䱽	huang lie chang
黃梨	huang li
王力雄	wang li xiong
黃綠醫生	huang lv yi sheng
黃龍病	huang long bing
黃馬㡁	huang ma kua
黃馬褂	huang ma gua
黃紋擬啄木鳥	huang wen ni zhuo mu niao
王敏德	wang min de
黃眉林雀	huang mei lin que
黃眉柳鶯	huang mei liu ying
黃眉鵐	huang mei wu
黃面婆	huang mian po
黃鵐	huang wu
王母孃孃	wang mu niang niang
黃芽白	huang ya bai
黃額鴉雀	huang e ya que
黃牛黨	huang niu dang
黃牛飛	huang niu fei
黃牛木	huang niu mu
黃泡	huang pao
黃泡髧熟	huang pao dan shu
黃泡仔	huang pao zai
黃皮樹了哥	huang pi shu le ge
黃皮白心	huang pi bai xin
黃皮狗	huang pi gou
黃沙膶	huang sha run
王慎德	wang shen de
黃石路	huang shi lu
黃絲蟻	huang si yi
黃色架步	huang se jia bu
黃蟮	huang shan
黃粟	huang su
黃體酮	huang ti tong
黃頭	huang tou
黃頭鶺鴒	huang tou ji ling
皇天不負有心人	huang tian bu fu you xin ren
皇天擊殺	huang tian ji sha
黃臺之瓜	huang tai zhi gua
黃糖	huang tang
黃糖糕	huang tang gao
黃桃	huang tao
黃酮	huang tong
黃永	huang yong
皇皇巨著	huang huang ju zhu
黃黃瘀瘀	huang huang yu yu
黃爪隼	huang zhao sun
黃嘴白鷺	huang zui bai lu
黃嘴潛鳥	huang zui qian niao
黃嘴河燕鷗	huang zui he yan ou
黃嘴藍鵲	huang zui lan que
黃嘴栗啄木鳥	huang zui li zhuo mu niao
黃嘴山鴉	huang zui shan ya
黃嘴朱頂雀	huang zui zhu ding que
黃紙兄弟	huang zhi xiong di
王字邊	wang zi bian
黃鶺鴒	huang ji ling
王靖雯	wang jing wen
黃朝百晏	huang chao bai yan
黃朝八晏	huang chao ba yan
黃竹坑道	huang zhu keng dao
黃宗澤	huang zong ze
黃腫腳	huang zhong jiao
往程	wang cheng
往復鋸	wang fu ju
往心裏去	wang xin li qu
往灣洲	wang wan zhou
往陣	wang zhen
往陣時	wang zhen shi
旺熾	wang chi
旺熾型	wang chi xing
旺熾性	wang chi xing
旺菜	wang cai
旺丁唔旺財	wang ding wu wang cai
旺區	wang qu
旺鋪招租	wang pu zhao zu
旺鋪轉讓	wang pu zhuan rang
旺鐘	wang zhong
烏鴉口	wu ya kou
嗚啊	wu a
烏𥌽𥌽	wu ying ying
烏漆墨黑	wu qi mo hei
烏青	wu qing
烏燈黑火	wu deng hei huo
污點證人	wu dian zheng ren
烏雕	wu diao
烏啄啄	wu zhuo zhuo
烏冬麪	wu dong mian
烏端端	wu duan duan
烏灰鷂	wu hui yao
烏灰銀鷗	wu hui yin ou
惡鯁	e geng
烏鵑	wu juan
烏下烏下	wu xia wu xia
烏口烏面	wu kou wu mian
烏燕鷗	wu yan ou
烏蠅鏡	wu ying jing
烏蠅摟馬尾	wu ying lou ma wei
烏蠅拍	wu ying pai
烏蠅紙	wu ying zhi
烏泱烏泱	wu yang wu yang
烏哩單刀	wu li dan dao
烏哩馬杈	wu li ma cha
烏哩馬喳	wu li ma zha
烏龍波	wu long bo
烏龍事	wu long shi
烏龍指	wu long zhi
烏劣劣	wu lie lie
烏眉瞌睡	wu mei ke shui
污蔑	wu mie
烏垂垂	wu chui chui
鎢絲膽	wu si dan
烏瀡瀡	wu sui sui
烏嘴	wu zui
烏嘴柳鶯	wu zui liu ying
烏黢黢	wu qu qu
污糟錢	wu zao qian
污糟嘢	wu zao ye
污糟貓	wu zao mao
污糟衫	wu zao shan
烏鬃鵝	wu zong e
塢站	wu zhan
惡屎能登	e shi neng deng
鬍疵	hu ci
糊牆紙	hu qiang zhi
胡定欣	hu ding xin
蝴蝶粉	hu die fen
蝴蝶刀	hu die dao
狐裘	hu qiu
糊哩麻䵦	hu li ma xie
糊哩糊塗	hu li hu tu
狐狸先生幾多點	hu li xian sheng ji duo dian
湖里	hu li
湖里區	hu li qu
胡哩馬查	hu li ma cha
鬍鬑鬚	hu lian xu
胡狼	hu lang
葫蘆瓜	hu lu gua
葫蘆王	hu lu wang
胡兀鷲	hu wu jiu
湖水藍	hu shui lan
鬍鬚公	hu xu gong
鬍鬚簕特	hu xu le te
鬍鬚簕𥕏	hu xu le kuo
猢猻樹	hu sun shu
胡胡混混	hu hu hun hun
胡椒球	hu jiao qiu
胡椒噴霧	hu jiao pen wu
互不相欠	hu bu xiang qian
護壆層	hu xue ceng
護貝膠膜	hu bei jiao mo
互摷	hu jiao
護頸套	hu jing tao
護脛	hu jing
芋角	yu jiao
護養院	hu yang yuan
護理職業	hu li zhi ye
互聯網協議	hu lian wang xie yi
護士鞋	hu shi xie
互訴衷腸	hu su zhong chang
芋頭糕	yu tou gao
芋頭色	yu tou se
護衛員	hu wei yuan
互惠互利	hu hui hu li
護長	hu zhang
煨番薯	wei fan shu
會金	hui jin
會胸鷦鶯	hui xiong jiao ying
會仔	hui zai
回本菜	hui ben cai
回巢	hui chao
回腸盪氣	hui chang dang qi
回袋	hui dai
回蕩	hui dang
回覆下	hui fu xia
回教佬	hui jiao lao
茴香豆	hui xiang dou
回鄉卡	hui xiang ka
回鄉證	hui xiang zheng
回游	hui you
回繞	hui rao
回勇	hui yong
回力鏢	hui li biao
回力刀	hui li dao
回力膠	hui li jiao
回籠覺	hui long jue
回尾	hui wei
回南	hui nan
回南天	hui nan tian
回收桶	hui shou tong
回收筒	hui shou tong
回旋加速器	hui xuan jia su qi
回旋曲	hui xuan qu
回甜	hui tian
回天無力	hui tian wu li
回填率	hui tian lv
回糖	hui tang
回魂覺	hui hun jue
回鑊	hui huo
回鑊油	hui huo you
回鑊肉	hui huo rou
回樽	hui zun
回咗	hui zuo
迴轉壽司	hui zhuan shou si
會飲會食	hui yin hui shi
會閃	hui shan
會會地	hui hui di
匯單	hui dan
會江站	hui jiang zhan
匯橋	hui qiao
會里縣	hui li xian
匯率操縱國	hui lv cao zong guo
匯編語言	hui bian yu yan
會話表	hui hua biao
彙聚	hui ju
會展中心站	hui zhan zhong xin zhan
彙注	hui zhu
碗布	wan bu
豌豆尖	wan dou jian
豌豆象	wan dou xiang
碗篤	wan du
腕級	wan ji
碗頭飯	wan tou fan
碗碗	wan wan
碗碗碟碟	wan wan die die
碗仔翅	wan zai chi
換膊	huan bo
緩步當車	huan bu dang che
緩步跑	huan bu pao
